,ROA,ROE,cash_flow,Annual_yield,Daily_yield,Max_withdraw,Var10,Var5,active_profit_annual,active_profit_daily,active_profit_total,active_risk,alpha,beta,downside_risk,total_yield,varance,win_rate,ind,news,clu
99,0.5333333333333333,0.5666666666666667,0.5666666666666667,0.4666666666666667,0.4666666666666667,0.5666666666666667,0.6,0.55,0.43333333333333335,0.43333333333333335,0.4666666666666667,0.7,0.55,0.6333333333333333,0.6333333333333333,0.4666666666666667,0.7,0.5666666666666667,0.40236686390532544,1.0,4
100,0.6125,0.675,0.675,0.7375,0.7375,0.5875,0.775,0.7125,0.75,0.75,0.75,0.525,0.65,0.425,0.5625,0.725,0.525,0.5875,0.345054945054945,1.5,2
101,0.25,0.5,0.5,0.75,0.75,0.25,0.5,0.5,0.75,0.75,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.42857142857142855,0.0,4
102,0.5,0.5375,0.5875,0.7,0.7,0.6875,0.7,0.7125,0.675,0.675,0.675,0.575,0.6125,0.5625,0.5125,0.6625,0.575,0.5125,0.3421245421245421,1.6666666666666667,2
103,1.0,0.75,0.5,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.25,0.75,0.25,0.25,1.0,0.25,0.25,0.0,0.0,4
104,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.8461538461538461,1.0,2
105,0.75,1.0,1.0,0.25,0.25,0.25,1.0,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,3.0,1
106,0.25,0.5,0.75,0.25,0.25,1.0,0.5,0.5,0.25,0.25,0.25,0.75,0.5,0.5,0.75,0.25,0.75,0.75,0.8461538461538461,2.0,2
107,0.6875,0.625,0.3125,0.8125,0.8125,0.5625,0.75,0.75,0.8125,0.8125,0.8125,0.5,0.6875,0.625,0.4375,0.8125,0.5,0.5,0.3791208791208791,1.0,4
108,0.25,0.25,0.75,0.25,0.25,0.5,1.0,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.0,0.0,3
109,0.25,0.25,0.75,0.25,0.25,0.5,1.0,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.0,0.0,3
110,0.5,0.625,0.625,0.875,0.875,0.625,0.375,0.625,0.75,0.75,0.875,0.625,0.75,0.625,0.625,1.0,0.625,0.625,0.4945054945054945,0.0,4
111,0.625,0.625,0.875,0.375,0.375,0.25,1.0,1.0,0.5,0.5,0.375,0.25,0.625,0.25,0.25,0.5,0.25,0.625,0.5714285714285714,2.0,2
112,0.6532258064516129,0.6129032258064516,0.6102150537634409,0.5940860215053764,0.5940860215053764,0.6155913978494624,0.6720430107526881,0.6908602150537635,0.553763440860215,0.553763440860215,0.5564516129032258,0.553763440860215,0.5080645161290323,0.6209677419354839,0.5860215053763441,0.5887096774193549,0.5403225806451613,0.5940860215053764,0.4935768456895218,1.3870967741935485,4
113,0.725,0.6875,0.7,0.6875,0.6875,0.5125,0.85,0.825,0.675,0.675,0.675,0.4125,0.4625,0.5875,0.4375,0.7,0.425,0.7125,0.4230769230769231,2.833333333333333,2
114,0.5,0.25,0.75,0.75,0.75,1.0,0.5,0.5,0.75,0.75,0.75,0.75,0.5,1.0,0.75,0.75,0.75,0.25,0.38461538461538464,0.0,3
115,0.6875,0.625,0.5625,0.625,0.625,0.5,0.625,0.625,0.625,0.625,0.625,0.5625,0.625,0.875,0.625,0.625,0.625,0.5625,0.5750915750915752,2.0,2
116,0.25,0.25,0.25,0.5,0.5,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.5,0.25,0.0,0.0,3
117,0.6293103448275862,0.5862068965517241,0.5862068965517241,0.5948275862068966,0.5948275862068966,0.5689655172413793,0.6206896551724138,0.6551724137931034,0.6206896551724138,0.6206896551724138,0.5862068965517241,0.5689655172413793,0.5086206896551724,0.6206896551724138,0.603448275862069,0.5862068965517241,0.5862068965517241,0.6206896551724138,0.43621595795508855,1.0,4
118,0.8333333333333334,0.9166666666666666,0.75,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5,0.5,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.0,1.0,4
119,0.875,0.75,0.875,0.75,0.75,0.625,0.25,0.5,0.625,0.625,0.75,1.0,1.0,0.375,0.75,0.75,1.0,0.875,0.3516483516483516,0.0,4
120,0.6136363636363636,0.6136363636363636,0.5681818181818182,0.7954545454545454,0.7954545454545454,0.5681818181818182,0.6136363636363636,0.5227272727272727,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.6818181818181818,0.6363636363636364,0.5227272727272727,0.7727272727272727,0.7954545454545454,0.7045454545454546,0.8181818181818182,0.4355644355644355,0.0,4
121,0.57,0.69,0.67,0.74,0.74,0.52,0.78,0.78,0.73,0.73,0.73,0.5,0.64,0.58,0.51,0.81,0.49,0.6,0.4697802197802198,1.6,2
122,1.0,1.0,0.875,0.375,0.375,0.75,0.875,0.875,0.375,0.375,0.375,0.375,0.25,0.75,0.5,0.375,0.375,0.75,0.3736263736263736,3.5,1
123,0.75,0.25,0.9166666666666666,0.5833333333333334,0.5833333333333334,0.3333333333333333,1.0,1.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.25,0.3333333333333333,0.25,0.25,0.5833333333333334,0.25,0.5,0.7472527472527473,0.0,3
124,0.5523255813953488,0.5348837209302325,0.6162790697674418,0.686046511627907,0.686046511627907,0.6686046511627907,0.6569767441860465,0.6162790697674418,0.6802325581395349,0.6802325581395349,0.6744186046511628,0.622093023255814,0.6453488372093024,0.6918604651162791,0.6162790697674418,0.6686046511627907,0.627906976744186,0.5872093023255814,0.4172854172854175,1.8571428571428568,2
